,matrix training
386,"[[  0 105]
 [  0 145]]"
387,"[[  0 105]
 [  0 145]]"
388,"[[  0 105]
 [  0 145]]"
389,"[[  0 105]
 [  0 145]]"
390,"[[  0 132]
 [  0 168]]"
391,"[[  0 132]
 [  0 168]]"
392,"[[  0 132]
 [  0 168]]"
393,"[[  1 131]
 [  0 168]]"
394,"[[  0 132]
 [  0 168]]"
395,"[[  0 132]
 [  0 168]]"
396,"[[  0 132]
 [  0 168]]"
397,"[[  0 132]
 [  0 168]]"
398,"[[  0 132]
 [  0 168]]"
399,"[[  1 131]
 [  0 168]]"
400,"[[  0 132]
 [  0 168]]"
401,"[[  0 132]
 [  0 168]]"
402,"[[  0 132]
 [  0 168]]"
403,"[[  0 132]
 [  0 168]]"
404,"[[  0 132]
 [  0 168]]"
405,"[[  0 132]
 [  0 168]]"
406,"[[  0 132]
 [  0 168]]"
407,"[[  0 132]
 [  0 168]]"
408,"[[  0 132]
 [  0 168]]"
409,"[[  0 132]
 [  0 168]]"
410,"[[  0 132]
 [  0 168]]"
411,"[[  0 132]
 [  0 168]]"
412,"[[  0 132]
 [  0 168]]"
413,"[[  0 132]
 [  0 168]]"
414,"[[  0 132]
 [  0 168]]"
415,"[[  0 132]
 [  0 168]]"
416,"[[  0 132]
 [  0 168]]"
417,"[[  0 132]
 [  0 168]]"
418,"[[  0 132]
 [  0 168]]"
419,"[[ 18 114]
 [  8 160]]"
